object_name,object_type,category,proposed_old_name,runtime_hits,ddl_hits,hard_deps,inbound_fk,synonyms,notes,recommended_action
SC_IDX_PRICES_CANON,TABLE,application_or_apex_object,OLD_SC_IDX_PRICES_CANON,13,0,0,0,0,runtime_code_mentions,BLOCKED_NEEDS_REVIEW
SC_IDX_PRICES_RAW,TABLE,application_or_apex_object,OLD_SC_IDX_PRICES_RAW,17,0,0,0,0,runtime_code_mentions,BLOCKED_NEEDS_REVIEW
TECH100_COMPANIES,TABLE,application_or_apex_object,OLD_TECH100_COMPANIES,0,0,0,0,0,,RENAME_TO_OLD
VECTOR$ESG_DOCS_HNSW$165913_172112_0$HNSW_CHECKPOINTS,TABLE,oracle_managed_internal,,0,18,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
VECTOR$ESG_DOCS_HNSW$165913_172112_0$HNSW_SHARED_JOURNAL_CHANGE_LOG,TABLE,oracle_managed_internal,,0,27,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
VECTOR$ESG_DOCS_HNSW$165913_172112_2$HNSW_ROWID_VID_MAP,TABLE,oracle_managed_internal,,0,0,0,0,0,oracle_managed_internal,DO_NOT_RENAME_INTERNAL
ESG_BENCH_RISK_30D,VIEW,application_or_apex_object,OLD_ESG_BENCH_RISK_30D,0,6,0,0,0,ddl_mentions_only,RENAME_TO_OLD
ESG_INDEX_RISK_30D,VIEW,application_or_apex_object,OLD_ESG_INDEX_RISK_30D,0,6,0,0,0,ddl_mentions_only,RENAME_TO_OLD
ESG_INDEX_VS_BENCH_YTD,VIEW,application_or_apex_object,OLD_ESG_INDEX_VS_BENCH_YTD,0,6,0,0,0,ddl_mentions_only,RENAME_TO_OLD
ESG_SCORE_00,VIEW,application_or_apex_object,OLD_ESG_SCORE_00,0,36,0,0,0,ddl_mentions_only,RENAME_TO_OLD
ESG_SCORE_ENVIRONMENTAL,VIEW,application_or_apex_object,OLD_ESG_SCORE_ENVIRONMENTAL,0,6,0,0,0,ddl_mentions_only,RENAME_TO_OLD
ESG_SCORE_GOVERNANCE,VIEW,application_or_apex_object,OLD_ESG_SCORE_GOVERNANCE,0,6,0,0,0,ddl_mentions_only,RENAME_TO_OLD
ESG_SCORE_SOCIAL,VIEW,application_or_apex_object,OLD_ESG_SCORE_SOCIAL,0,6,0,0,0,ddl_mentions_only,RENAME_TO_OLD
NET_GREENHOUSE_GAS_EMISSIONS_MAX_YEAR,VIEW,application_or_apex_object,OLD_5E1ADF0A_NET_GREENHOUSE_GA,0,6,0,0,0,ddl_mentions_only,RENAME_TO_OLD
SC_CHUNKS,VIEW,application_or_apex_object,OLD_SC_CHUNKS,0,6,0,0,0,ddl_mentions_only,RENAME_TO_OLD
TECH11_AI_GOV_ETH_PERF_00,VIEW,application_or_apex_object,OLD_TECH11_AI_GOV_ETH_PERF_00,0,6,0,0,0,ddl_mentions_only,RENAME_TO_OLD
V_NEWS_RECENT,VIEW,application_or_apex_object,OLD_V_NEWS_RECENT,4,6,0,0,0,runtime_code_mentions,BLOCKED_NEEDS_REVIEW
V_NEWS_SEARCH,VIEW,application_or_apex_object,OLD_V_NEWS_SEARCH,0,6,0,0,0,ddl_mentions_only,RENAME_TO_OLD
V_TECH100_NEWS,VIEW,application_or_apex_object,OLD_V_TECH100_NEWS,0,6,0,0,0,ddl_mentions_only,RENAME_TO_OLD
