object_name,object_type,status,last_ddl_time
SC_IDX_LEVELS,TABLE,VALID,2025-12-12 22:18:06
SC_IDX_PRICES_CANON,TABLE,VALID,2025-12-12 22:18:05
SC_IDX_PRICES_RAW,TABLE,VALID,2025-12-12 22:18:05
TECH100_COMPANIES,TABLE,VALID,2025-10-14 10:24:58
TECH11_AI_GOV_ETH_INDEX,TABLE,VALID,2025-05-19 21:32:32
VECTOR$ESG_DOCS_HNSW$165913_172112_0$HNSW_CHECKPOINTS,TABLE,VALID,2025-09-27 10:06:33
VECTOR$ESG_DOCS_HNSW$165913_172112_0$HNSW_SHARED_JOURNAL_CHANGE_LOG,TABLE,VALID,2025-09-27 10:06:33
VECTOR$ESG_DOCS_HNSW$165913_172112_2$HNSW_ROWID_VID_MAP,TABLE,VALID,2025-11-08 10:02:59
ESG_BENCHMARK_RETURNS,VIEW,VALID,2025-08-08 21:26:57
ESG_BENCH_DAILY_RET,VIEW,VALID,2025-08-08 21:26:57
ESG_BENCH_RISK_30D,VIEW,VALID,2025-08-08 21:26:57
ESG_BENCH_SECTOR_DAILY,VIEW,VALID,2025-08-08 21:26:57
ESG_INDEX_DAILY_RET,VIEW,VALID,2025-08-08 21:26:57
ESG_INDEX_RETURNS,VIEW,VALID,2025-08-08 21:26:57
ESG_INDEX_RISK_30D,VIEW,VALID,2025-08-08 21:26:57
ESG_INDEX_SECTOR_DAILY,VIEW,VALID,2025-08-08 21:26:57
ESG_INDEX_VS_BENCH_YTD,VIEW,VALID,2025-08-08 21:26:57
ESG_SCORE_00,VIEW,INVALID,2025-12-17 01:00:06
ESG_SCORE_01,VIEW,INVALID,2025-12-17 01:00:07
ESG_SCORE_ENVIRONMENTAL,VIEW,INVALID,2025-12-17 01:00:07
ESG_SCORE_GOVERNANCE,VIEW,INVALID,2025-12-17 01:00:07
ESG_SCORE_SOCIAL,VIEW,INVALID,2025-12-17 01:00:07
NET_GREENHOUSE_GAS_EMISSIONS,VIEW,VALID,2024-11-15 14:28:35
NET_GREENHOUSE_GAS_EMISSIONS_MAX_YEAR,VIEW,VALID,2024-11-16 09:37:10
NET_GREENHOUSE_GAS_EMISSIONS_NEW,VIEW,VALID,2024-11-15 15:31:21
SC_CHUNKS,VIEW,VALID,2025-09-07 23:21:03
TECH11_AI_GOV_ETH_PERF_00,VIEW,VALID,2025-05-21 08:29:46
V_NEWS_ALL,VIEW,VALID,2025-08-13 09:47:31
V_NEWS_ENRICHED,VIEW,VALID,2025-08-13 09:47:31
V_NEWS_RECENT,VIEW,VALID,2025-08-13 09:47:31
V_NEWS_SEARCH,VIEW,VALID,2025-08-13 09:47:31
V_TECH100_NEWS,VIEW,VALID,2025-08-09 16:56:44
